taxid,species_id,assembly,superkingdom,kingdom,phylum,class,order,family,genus,species,strain_name
52,52,GCF_001189295.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Chondromyces,Chondromyces crocatus,strain=Cm c5
56,56,GCF_002950945.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,strain=So ce26
56,56,GCF_004135735.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,strain=So ceGT47
56,56,GCF_004135755.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,strain=So ce836
63,63,GCF_002222655.1,Bacteria,,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Vitreoscilla,Vitreoscilla filiformis,strain=ATCC 15551
69,69,GCF_002355975.1,Bacteria,,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes,strain=M497-1
69,69,GCF_005954665.1,Bacteria,,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes,strain=YC36
69,69,GCF_017355525.1,Bacteria,,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes,strain=CX03
94,94,GCF_006738645.1,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Stellaceae,Stella,Stella humosa,strain=ATCC 43930
114,114,GCF_003149495.1,Bacteria,,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,Gemmata obscuriglobus,strain=DSM 5831
114,114,GCF_008065095.1,Bacteria,,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,Gemmata obscuriglobus,strain=DSM 5831
122,122,GCF_007747015.1,Bacteria,,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Gimesia,Gimesia maris,strain=CA11
122,122,GCF_008298035.1,Bacteria,,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Gimesia,Gimesia maris,strain=DSM 8797
122,122,GCF_009720545.1,Bacteria,,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Gimesia,Gimesia maris,strain=DSM 8797
134,134,GCF_009685195.1,Bacteria,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylocystaceae,Methylocystis,Methylocystis parvus,strain=BRCS2
139,139,GCF_002151465.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella,Borreliella burgdorferi,strain=PAli
139,139,GCF_002151485.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella,Borreliella burgdorferi,strain=PAbe
139,139,GCF_002151505.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella,Borreliella burgdorferi,strain=B31_NRZ
139,139,GCF_002442595.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella,Borreliella burgdorferi,strain=B331
139,139,GCF_003367295.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella,Borreliella burgdorferi,strain=MM1
142,142,GCF_003568645.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia turicatae,strain=BTE5EL
159,159,GCF_002850235.1,Bacteria,,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira,Brachyspira hyodysenteriae,strain=BH718
159,159,GCF_017751165.1,Bacteria,,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira,Brachyspira hyodysenteriae,strain=BHZ755
159,159,GCF_017751185.1,Bacteria,,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira,Brachyspira hyodysenteriae,strain=BHZ526
159,159,GCF_017751205.1,Bacteria,,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira,Brachyspira hyodysenteriae,strain=BHZ375
159,159,GCF_017751225.1,Bacteria,,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira,Brachyspira hyodysenteriae,strain=Bh743-7x
161,160,GCF_005885795.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema pallidum,strain=X-4
162,162,GCF_008152505.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema phagedenis,strain=S11.1
162,162,GCF_008152825.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema phagedenis,strain=S2.3
162,162,GCF_008153055.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema phagedenis,strain=B31.4
162,162,GCF_008153205.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema phagedenis,strain=B36.5
162,162,GCF_008153345.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema phagedenis,strain=B43.1
162,162,GCF_013348685.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema phagedenis,strain=KS1
162,162,GCF_017161245.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema phagedenis,strain=T320A
162,162,GCF_017161285.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema phagedenis,strain=Reiter
173,173,GCF_005222565.1,Bacteria,,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira interrogans,strain=FMAS_KW1
173,173,GCF_005222585.1,Bacteria,,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira interrogans,strain=FMAS_KW2
173,173,GCF_005222625.1,Bacteria,,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira interrogans,strain=FMAS_AW1
176,173,GCF_008118365.1,Bacteria,,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira interrogans,strain=L53
192,192,GCF_000632475.1,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Azospirillum brasilense,strain=Az39
192,192,GCF_001315015.1,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Azospirillum brasilense,strain=Sp 7
192,192,GCF_005222145.1,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Azospirillum brasilense,strain=MTCC4038
192,192,GCF_005222165.1,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Azospirillum brasilense,strain=MTCC4035
192,192,GCF_005222205.1,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Azospirillum brasilense,strain=MTCC4039
192,192,GCF_008274945.1,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Azospirillum brasilense,strain=Sp 7
192,192,GCF_008274965.1,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Azospirillum brasilense,strain=Cd
195,195,GCF_000954195.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=FB1
195,195,GCF_001417635.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=HC2-48
195,195,GCF_001639125.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=YH501
195,195,GCF_001717605.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=14983A
195,195,GCF_001865455.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=YF2105
195,195,GCF_001865475.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=MG1116
195,195,GCF_001865495.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=BP3183
195,195,GCF_001865515.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=WA333
195,195,GCF_001865535.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=ZV1224
195,195,GCF_001865555.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=BG2108
195,195,GCF_001936355.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=YH502
195,195,GCF_002024185.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=aerotolerant OR12
195,195,GCF_002407145.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=CFSAN032805
195,195,GCF_002843985.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=YH503
195,195,GCF_003030205.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=CFSAN054106
195,195,GCF_004307315.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=RM2228
195,195,GCF_005517455.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=S9
195,195,GCF_008727315.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=AR-0420
195,195,GCF_008727495.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=AR-0411
195,195,GCF_009649055.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=CFSAN032805
195,195,GCF_009730395.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=FDAARGOS_735
195,195,GCF_010232325.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=16SHKX65C
195,195,GCF_013391125.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=20A420
195,195,GCF_014705905.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=PSU-32
195,195,GCF_014906165.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=meC0467
195,195,GCF_014906185.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=meC0280
195,195,GCF_014906205.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=meC0281
195,195,GCF_016127675.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=FDAARGOS_1028
195,195,GCF_018176575.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=CC19DZ036
195,195,GCF_018176655.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,strain=CC19DZ037
196,196,GCF_011600845.2,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter fetus,strain=CFV08A1102-42A
196,196,GCF_011600855.2,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter fetus,strain=CFF02A725-35A
196,196,GCF_011600945.2,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter fetus,strain=CFF00A031
196,196,GCF_011600955.2,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter fetus,strain=CFViADRI1362
196,196,GCF_011600995.2,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter fetus,strain=CFF09A980
196,196,GCF_011601005.2,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter fetus,strain=CFV08A948-2A
196,196,GCF_011601375.2,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter fetus,strain=CFViADRI545
197,197,GCF_000759575.2,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=G1
197,197,GCF_001314285.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=RM1285
197,197,GCF_001412295.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJM1cam
197,197,GCF_001457695.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=NCTC11351
197,197,GCF_001506185.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC519
197,197,GCF_001506205.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC002
197,197,GCF_001506225.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC534
197,197,GCF_001506245.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC536
197,197,GCF_001506265.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC073
197,197,GCF_001506285.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC521
197,197,GCF_001506305.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC526
197,197,GCF_001506345.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC036
197,197,GCF_001506365.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC524
197,197,GCF_001506385.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC016
197,197,GCF_001506405.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC041
197,197,GCF_001506425.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC535
197,197,GCF_001506445.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC092
197,197,GCF_001506465.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC530
197,197,GCF_001506485.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC532
197,197,GCF_001506505.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC529
197,197,GCF_001506525.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC531
197,197,GCF_001506545.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC062
197,197,GCF_001506565.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC059
197,197,GCF_001506585.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC032
197,197,GCF_001506605.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC033
197,197,GCF_001506625.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC537
197,197,GCF_001506645.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC542
197,197,GCF_001506665.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC528
197,197,GCF_001506685.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC538
197,197,GCF_001506705.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC520
197,197,GCF_001506725.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC014
197,197,GCF_001506745.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC039
197,197,GCF_001506765.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC085
197,197,GCF_001506785.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC052
197,197,GCF_001506805.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC527
197,197,GCF_001506825.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC078
197,197,GCF_001506845.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC523
197,197,GCF_001506865.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC540
197,197,GCF_001506885.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC040
197,197,GCF_001506905.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC061
197,197,GCF_001506925.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC539
197,197,GCF_001506945.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC533
197,197,GCF_001506965.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC047
197,197,GCF_001506985.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC058
197,197,GCF_001507005.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC013
197,197,GCF_001507025.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC100
197,197,GCF_001507045.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC522
197,197,GCF_001507065.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC094
197,197,GCF_001507085.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC008
197,197,GCF_001507105.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC541
197,197,GCF_001507125.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC024
197,197,GCF_001507145.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC064
197,197,GCF_001507165.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC525
197,197,GCF_001507185.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC026
197,197,GCF_001507205.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC034
197,197,GCF_001507225.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC086
197,197,GCF_001507245.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC095
197,197,GCF_001507265.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=CJ677CC012
197,197,GCF_001563565.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=RM3194
197,197,GCF_001587015.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=OD267
197,197,GCF_001587035.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=WP2202
197,197,GCF_001865395.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,strain=FJ3124
